type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,cycle_number,initial_capacity,SOH,recommendation
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975208,,,1,1.6743047446975208,100.0,Reuse (Second-life ready)
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099025,,,2,1.6743047446975208,91.04472858585216,Reuse (Second-life ready)
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973425,,,3,1.6743047446975208,90.07179259172385,Reuse (Second-life ready)
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067696,,,4,1.6743047446975208,88.60739364832826,Reuse (Second-life ready)
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.4671391666146525,,,5,1.6743047446975208,87.62676993307483,Reuse (Second-life ready)
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.448858156982267,,,6,1.6743047446975208,86.53491316743637,Reuse (Second-life ready)
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.4458534180949325,,,7,1.6743047446975208,86.35545128053374,Reuse (Second-life ready)
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.431118266178283,,,8,1.6743047446975208,85.47537541839961,Reuse (Second-life ready)
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.419274551657853,,,9,1.6743047446975208,84.76799436617847,Reuse (Second-life ready)
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.3999974221808271,,,10,1.6743047446975208,83.61664306420813,Reuse (Second-life ready)
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0047,26,27,00027.csv,1.3885156686114437,,,11,1.6743047446975208,82.93088059439815,Reuse (Second-life ready)
discharge,[2010    7   24    9   56   39],4,B0047,28,29,00029.csv,1.3652234669528964,,,12,1.6743047446975208,81.53972395267488,Reuse (Second-life ready)
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0047,32,33,00033.csv,1.4060442272970963,,,13,1.6743047446975208,83.97779626140351,Reuse (Second-life ready)
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.405754161352578,,,14,1.6743047446975208,83.96047170054104,Reuse (Second-life ready)
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.3867662881727878,,,15,1.6743047446975208,82.82639660220997,Reuse (Second-life ready)
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.3705053061420225,,,16,1.6743047446975208,81.85518857796808,Reuse (Second-life ready)
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.34974311148236,,,17,1.6743047446975208,80.61513985174807,Reuse (Second-life ready)
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.3251533367939785,,,18,1.6743047446975208,79.14648399526456,Repurpose (Stationary use)
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.3111943869635805,,,19,1.6743047446975208,78.31276779905801,Repurpose (Stationary use)
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0.0,,,20,1.6743047446975208,0.0,Recycle (Material recovery)
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.3394234405932892,,,21,1.6743047446975208,79.99878426165894,Repurpose (Stationary use)
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.2849157142560723,,,22,1.6743047446975208,76.74324034052742,Repurpose (Stationary use)
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159327807,,,23,1.6743047446975208,76.55232199436679,Repurpose (Stationary use)
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.2600051642942829,,,24,1.6743047446975208,75.25542576909527,Repurpose (Stationary use)
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070385993126,,,25,1.6743047446975208,75.61767892032425,Repurpose (Stationary use)
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.2413590294280803,,,26,1.6743047446975208,74.14176143019554,Repurpose (Stationary use)
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.2298873703485311,,,27,1.6743047446975208,73.4566018667481,Repurpose (Stationary use)
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088614506696,,,28,1.6743047446975208,73.34916886522723,Repurpose (Stationary use)
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.2139857189070042,,,29,1.6743047446975208,72.50685532318207,Repurpose (Stationary use)
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.2173435064564189,,,30,1.6743047446975208,72.70740349459761,Repurpose (Stationary use)
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.2073445944515917,,,31,1.6743047446975208,72.11020564059322,Repurpose (Stationary use)
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.18804049227045,,,32,1.6743047446975208,70.95724335924766,Repurpose (Stationary use)
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.186304749886542,,,33,1.6743047446975208,70.85357391738499,Repurpose (Stationary use)
